Airmass,Magnitude
1.815204,-8.312
1.729485,-8.701
1.101937,-8.945
1.090597,-8.956
1.204181,-8.905
1.790322,-11.088
1.698874,-11.217
1.099077,-11.355
1.208668,-11.335
1.761573,-11.489
1.093378,-11.672
1.213917,-11.646
1.815204,-8.268
1.729485,-8.396
1.101937,-8.652
1.090597,-8.666
1.204181,-8.624
1.790322,-11.088
1.698874,-10.977
1.099077,-11.117
1.208668,-11.113
1.761573,-11.276
1.093378,-11.471
1.213917,-11.45
1.815204,-6.508
1.729485,-6.644
1.101937,-6.865
1.090597,-6.909
1.204181,-6.858
1.790322,-8.742
1.698874,-8.873
1.099077,-9.008
1.208668,-8.971
1.761573,-9.139
1.093378,-9.325
1.213917,-9.316
1.729485,-8.414
1.101937,-8.69
1.090597,-8.699
1.204181,-8.65
1.698874,-9.12
1.099077,-9.263
1.208668,-9.217
1.761573,-8.71
1.093378,-8.908
1.213917,-8.855
