Color_index,y,#
-0.129,22.761,149
-0.04,23.667,149
-0.108,23.342,149
0.298,22.799,149A
0.196,23.658,149A
0.391,25.701,149A
0.662,22.845,149B
0.374,23.662,149B
0.728,23.955,149B
0.195,22.767,149C
0.093,23.686,149C
0.222,25.8,149C
-0.037,22.748,149D
0.021,23.67,149D
0.29,20.988,149D
0.522,22.83,149E
0.321,23.694,149E
0.637,22.391,149E
1.115,22.869,149F
0.594,23.696,149F
1.132,22.772,149F
0.541,22.784,149G
0.322,23.673,149G
0.645,23.366,149G
0.873,22.637,A
0.873,22.773,A
0.873,22.994,A
0.873,23.038,A
0.873,22.987,A
0.505,23.493,A
0.505,23.624,A
0.505,23.759,A
0.505,23.722,A
1.015,25.268,A
1.015,25.454,A
1.015,25.445,A
1.081,21.20204544,B
1.081,21.64582173,B
1.081,22.29083846,B
1.081,22.30908496,B
1.081,22.18550233,B
0.59,23.47125006,B
0.59,23.60003297,B
0.59,23.73660911,B
0.59,23.71686927,B
1.09,25.02974649,B
1.09,25.40591512,B
1.09,25.34506848,B
1.134,22.631,C
1.134,22.759,C
1.134,23.015,C
1.134,23.029,C
1.134,22.987,C
0.618,23.463,C
0.618,23.588,C
0.618,23.728,C
0.618,23.724,C
1.138,25.639,C
1.138,25.834,C
1.138,25.813,C
0.535,22.538,D
0.535,22.666,D
0.535,23.457,D
0.65,24.519,D
-0.974,22.619,PG
-0.974,22.895,PG
-0.974,22.904,PG
-0.974,22.855,PG
-0.093,23.61,PG
-0.093,23.753,PG
-0.093,23.707,PG
-0.212,23.223,PG
-0.212,23.421,PG
-0.212,23.368,PG
