Color_index,y,,1633
0.59,23.47125006,B,1633
0.59,23.71686927,B,1633
0.59,23.73660911,B,1633
0.59,23.60003297,B,1633
0.618,23.46725006,C,1633
0.618,23.59203297,C,1633
0.618,23.72686927,C,1633
0.618,23.73060911,C,1633
0.505,23.62803297,A,1633
0.505,23.49725006,A,1633
0.505,23.72486927,A,1633
0.505,23.76160911,A,1633
-0.093,23.61403297,PG,1633
-0.093,23.75560911,PG,1633
-0.093,23.70986927,PG,1633
0.535,23.46125006,D,1633
0.196,23.658,A,
-0.04,23.667,149,
0.021,23.67,D,
0.374,23.662,B,
0.093,23.686,C,
0.321,23.694,E,
0.594,23.696,F,
0.322,23.673,G,
