Color_index,y,,
1.671,23.5011774228655,B,1633
1.671,23.4935049958919,B,1633
1.671,23.4857042072321,B,1633
1.671,23.4927899902246,B,1633
1.752,23.5171774228654,C,1633
1.752,23.5045049958919,C,1633
1.752,23.5207042072321,C,1633
1.752,23.5227899902246,C,1633
1.378,23.5761774228655,A,1633
1.378,23.6005049958919,A,1633
1.378,23.5887042072321,A,1633
1.378,23.5387899902246,A,1633
-0.285,23.3871774228654,PG,1633
-0.285,23.3975049958919,PG,1633
-0.285,23.3847042072321,PG,1633
-0.285,23.3987899902246,PG,1633
0.859,23.4161774228655,D,1633
0.494,23.4619617217908,A,149
-0.169,23.4189617217908,149,149
-0.016,23.4359617217908,D,149
1.036,23.5269617217908,B,149
0.288,23.5179617217908,C,149
0.843,23.5219617217908,E,149
1.709,23.5969617217908,F,149
0.863,23.4839617217908,G,149
