Color_index,y,#,
1.671,24.255528396771,B,1633
1.671,24.2471044982193,B,1633
1.671,24.3277472894301,B,1633
1.752,24.244528396771,C,1633
1.752,24.2761044982193,C,1633
1.752,24.3507472894301,C,1633
1.378,24.373528396771,A,1633
1.378,24.2371044982193,A,1633
1.378,24.2957472894301,A,1633
-0.285,24.114528396771,PG,1633
-0.285,24.1481044982193,PG,1633
-0.285,24.1987472894301,PG,1633
0.494,24.3603980126631,A,
-0.169,24.3433980126631,149,
-0.016,24.3733980126631,D,
1.036,24.4633980126631,B,
0.288,24.3933980126631,C,
0.843,24.4543980126631,E,
1.709,24.4943980126631,F,
0.863,24.4073980126631,G,
