Color_index,y,#,##
2.171,23.861790896331,B,1633
2.171,23.8514738534,B,1633
2.171,23.8642609351,B,1633
2.272,23.859790896331,C,1633
2.272,23.8624738534,C,1633
2.272,23.8802609351,C,1633
1.888,23.874790896331,A,1633
1.888,23.8614738534,A,1633
1.888,23.8942609351,A,1633
-0.404,23.812790896331,PG,1633
-0.404,23.8174738534,PG,1633
-0.404,23.8002609351,PG,1633
1.185,23.826790896331,D,1633
0.689,23.8980050096592,A,149
-0.237,23.8870050096592,149,149
-0.008,23.9240050096592,D,149
1.39,23.9430050096592,B,149
0.417,23.9460050096592,C,149
1.159,23.9460050096592,E,149
2.247,23.9530050096592,F,149
1.186,23.9280050096592,G,149
