Color_index,y,#,
2.171,24.4900863374212,B,1633
2.171,24.4644732337324,B,1633
2.171,24.538944537468,B,1633
2.272,24.4920863374212,C,1633
2.272,24.4864732337324,C,1633
2.272,24.560944537468,C,1633
1.888,24.5060863374212,A,1633
1.888,24.4794732337324,A,1633
1.888,24.546944537468,A,1633
-0.404,24.4820863374212,PG,1633
-0.404,24.4204732337324,PG,1633
-0.404,24.565944537468,PG,1633
0.689,24.5698038242448,A,
-0.237,24.6378038242448,149,
-0.008,24.6438038242448,D,
1.39,24.6618038242448,B,
0.417,24.6938038242448,C,
1.159,24.6658038242448,E,
2.247,24.6658038242448,F,
1.186,24.6308038242448,G,
