Color_index,y,,1633
1.671,23.4954329221281,B,1633
1.671,23.602717283342,B,1633
1.671,23.7295823761054,B,1633
1.671,23.7335915243721,B,1633
1.671,23.7272415985073,B,1633
1.752,23.4914329221281,C,1633
1.752,23.594717283342,C,1633
1.752,23.7235823761054,C,1633
1.752,23.7285823761054,C,1633
1.752,23.7372415985073,C,1633
1.378,23.5284329221281,A,1633
1.378,23.635717283342,A,1633
1.378,23.7545823761054,A,1633
1.378,23.7535823761054,A,1633
1.378,23.7392415985073,A,1633
-0.285,23.634717283342,PG,1633
-0.285,23.7485823761054,PG,1633
-0.285,23.7485823761054,PG,1633
-0.285,23.7382415985073,PG,1633
0.859,23.4834329221281,D,1633
0.494,23.6380920793078,A,
-0.169,23.6590920793078,149,
-0.016,23.6610920793078,D,
1.036,23.6520920793078,B,
0.288,23.6820920793078,C,
0.843,23.6840920793078,E,
1.709,23.6870920793078,F,
0.863,23.6640920793078,G,
