Color_index,y,#,
1.671,24.7188335635098,B,1633
1.671,24.6876391126418,B,1633
1.671,24.7563363623998,B,1633
1.671,24.759745429831,B,1633
1.752,24.7098335635098,C,1633
1.752,24.6926391126418,C,1633
1.752,24.7583363623998,C,1633
1.752,24.782745429831,C,1633
1.378,24.7658335635098,A,1633
1.378,24.7066391126418,A,1633
1.378,24.7633363623998,A,
1.378,24.762745429831,A,
-0.285,24.7288335635098,PG,
-0.285,24.6966391126418,PG,
-0.285,24.7513363623998,PG,
-0.285,24.745745429831,PG,
0.859,24.757745429831,D,
0.494,24.9782862844672,A,
-0.169,25.0442862844672,149,
-0.016,25.0592862844672,D,
1.036,25.0722862844672,B,
0.288,25.0772862844672,C,
0.843,25.0822862844672,E,
1.709,25.0482862844672,F,
0.863,25.0482862844672,G,
